1. The minima support is 8000
2. The minima confidence is 0.22
3. The strong association rules:
{39} -> {48, 39} (29142/50675)
{48} -> {48, 39} (29142/42135)
{38} -> {48, 39} (29142/15596)
{32} -> {48, 39} (29142/15167)
{41} -> {48, 39} (29142/14945)
{39} -> {41, 39} (11414/50675)
{48} -> {41, 39} (11414/42135)
{38} -> {41, 39} (11414/15596)
{32} -> {41, 39} (11414/15167)
{41} -> {41, 39} (11414/14945)
{48} -> {38, 39} (10345/42135)
{38} -> {38, 39} (10345/15596)
{32} -> {38, 39} (10345/15167)
{41} -> {38, 39} (10345/14945)
{38} -> {48, 41} (9018/15596)
{32} -> {48, 41} (9018/15167)
{41} -> {48, 41} (9018/14945)
{38} -> {32, 39} (8455/15596)
{32} -> {32, 39} (8455/15167)
{41} -> {32, 39} (8455/14945)
{38} -> {48, 32} (8034/15596)
{32} -> {48, 32} (8034/15167)
{41} -> {48, 32} (8034/14945)
